price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,sqft_above,sqft_basement,city,country
400000,4,2.5,3630,1.5,0,0,2300,1330,Auburn,USA
604000,3,2.5,3240,2,0,2,3240,0,Federal Way,USA
440000,2,1,800,1,0,0,800,0,Seattle,USA
287200,3,3,1850,1,0,0,1090,760,Maple Valley,USA
403000,3,2,,1,0,2,1650,310,Normandy Park,USA
750000,3,2.5,2390,1,0,2,1440,950,Seattle,USA
335000,3,2.25,1580,1,0,0,1580,0,Fall City,USA
260000,4,2,1480,1,0,0,1480,0,Renton,USA
308500,2,1,850,1,0,0,850,0,Shoreline,USA
439950,3,2.5,1770,2,0,0,1770,0,Seattle,USA
235000,2,1,1210,1,0,0,1210,0,Seattle,USA
315000,3,1,1160,1,0,0,1160,0,Woodinville,USA
437500,3,2.25,1970,2,0,0,1970,0,Issaquah,USA
407500,3,2.5,1930,2,0,0,1930,0,Renton,USA
445700,3,2.5,,3,0,0,1270,0,Seattle,USA
838000,4,2.5,3310,2,0,0,3310,0,Redmond,USA
630000,4,2.75,2710,2,0,0,2710,0,Issaquah,USA
550000,3,1.75,2910,1.5,0,0,2910,0,Sammamish,USA
805000,3,2,2710,1.5,0,0,1880,830,Seattle,USA
284000,3,1.75,1800,1,0,0,1800,0,Carnation,USA
470000,5,2.5,2210,1,0,0,1460,750,Bothell,USA
430000,4,1.5,1920,1,0,0,1070,850,Bellevue,USA
491500,4,1.75,2190,1,0,2,2190,0,Auburn,USA
785000,5,3.25,3660,2,0,2,3660,0,Snoqualmie,USA
385000,3,3.25,1320,2,0,0,1040,280,Seattle,USA
295000,2,2.5,1630,2,0,0,1280,350,Seattle,USA
555000,4,2.5,3310,2,0,0,3310,0,Snoqualmie,USA
459990,3,2.5,2680,2,0,0,2680,0,North Bend,USA
625000,4,3.25,2730,1,0,0,1560,1170,Renton,USA
300000,3,2.5,2540,2,0,0,2540,0,Kent,USA
625000,4,2.75,2920,2,0,0,2920,0,Renton,USA
553000,2,1,900,1,0,0,900,0,Seattle,USA
379880,3,2.5,1650,1,0,0,1130,520,Issaquah,USA
310000,3,1,1010,1,0,0,1010,0,Snoqualmie,USA
775000,2,2.5,2680,1,0,0,2680,0,Redmond,USA
365000,3,2.5,2200,1,0,0,1570,630,Renton,USA
331950,4,2.5,2530,,0,2,2010,520,Auburn,USA
783500,3,2.5,2850,2,0,0,1990,860,Seattle,USA
628000,4,2,2280,1,0,0,1140,1140,Seattle,USA
560000,3,2.5,1900,2,0,0,1900,0,Sammamish,USA
900000,3,1,1330,1,0,0,1330,0,Kirkland,USA
531000,2,3,1270,2,0,0,1110,160,Seattle,USA
831000,4,3,2170,2,0,0,1610,560,Seattle,USA
780000,4,2.5,2730,2,0,2,2730,0,Sammamish,USA
755000,4,2.5,2120,1,0,0,1620,500,Bellevue,USA
705380,3,2.5,2490,2,0,0,2490,0,Issaquah,USA
627000,4,2.25,1990,1,0,0,1210,780,Issaquah,USA
865000,4,3,3690,2,0,0,3690,0,Sammamish,USA
580000,2,1,2540,1,0,0,1320,1220,Seattle,USA
410000,3,2.25,1800,1,0,0,1360,440,Issaquah,USA
485000,4,3,2340,1,0,0,1340,1000,Kirkland,USA
400000,2,1.75,2110,1,0,0,2110,0,Shoreline,USA
549000,2,1,1140,1,0,0,1140,0,Seattle,USA
620000,3,1.75,1480,2.5,0,0,1480,0,Kirkland,USA
405000,2,3,1410,2,0,0,1140,270,Seattle,USA
232000,2,1,1200,1,0,0,1200,0,Des Moines,USA
800866,5,2.5,3180,2,0,0,3180,0,Kirkland,USA
650000,3,1.5,2160,1,0,2,1400,760,Seattle,USA
823000,6,1.75,2920,2.5,0,0,2780,140,Seattle,USA
770000,3,2,2350,1.5,0,0,1810,540,Seattle,USA
524000,3,1.75,1560,1,0,0,780,780,Seattle,USA
541125,5,2.75,2740,1,0,0,1370,1370,Bellevue,USA
670000,3,2.5,1680,3,,0,1680,0,Seattle,USA
384900,5,2.5,3090,1,0,0,1750,1340,Federal Way,USA
406100,3,2.25,1410,3,0,,1410,0,Seattle,USA
1395000,5,3.5,4010,2,0,1,2850,1160,Seattle,USA
736500,4,2.5,3180,2,0,3,3180,0,Renton,USA
570000,3,2.25,2010,1,0,0,1330,680,Redmond,USA
787000,3,1.75,1330,1,0,0,1330,0,Bellevue,USA
328000,4,2.5,2370,2,0,0,2370,0,Auburn,USA
435000,5,2,1840,1,0,0,1540,300,Seattle,USA
499000,4,2.5,2910,2,0,0,2910,0,Snoqualmie,USA
501000,4,1,2070,1,0,0,1160,910,Bellevue,USA
1090000,4,2.5,4340,2.5,0,0,4340,0,Redmond,USA
400000,2,1,840,1,0,0,840,0,Seattle,USA
220000,4,1.5,1240,1,0,0,1240,0,Federal Way,USA
657100,4,1,1390,1,0,,1050,340,Seattle,USA
309950,4,2.75,2310,2,0,0,2310,0,Maple Valley,USA
300000,3,2,1050,1,0,0,1050,0,Duvall,USA
525888,5,1.75,2550,1,0,0,1810,740,Issaquah,USA
740000,4,1.75,2010,1.5,0,0,2010,0,Seattle,USA
340000,5,1,1120,1.5,0,0,1120,0,Kirkland,USA
398750,3,2.5,2230,2,0,0,2230,0,Seattle,USA
206000,2,1,810,1,0,0,810,0,Burien,USA
1030000,5,2.75,3190,1,0,3,1690,1500,Bellevue,USA
600000,3,1.75,1670,1,0,0,1670,0,Sammamish,USA
379950,4,1.75,1970,1,0,0,1140,830,Shoreline,USA
287000,3,1,1450,1,0,0,1450,0,Seattle,USA
2280000,7,8,13540,3,0,4,9410,4130,Redmond,USA
309950,3,2.5,1880,2,0,0,1880,0,Renton,USA
600000,3,1.75,1880,1,0,0,1040,840,Seattle,USA
418000,3,2,1410,1.5,0,0,1410,0,Seattle,USA
449250,4,2,1480,1.5,0,0,1480,0,Seattle,USA
329950,2,1,1140,1.5,0,0,1140,0,Seattle,USA
245000,3,1.75,1920,1,0,0,1000,920,Auburn,USA
549000,4,2.5,2910,2,0,0,2910,0,Renton,USA
800000,3,2.5,3240,2,0,0,3240,0,Sammamish,USA
249950,3,2,1550,1,0,0,1550,0,Renton,USA
210000,5,2,2050,1,0,0,1430,620,Des Moines,USA
1425000,2,2.5,2220,2,0,0,2220,0,Seattle,USA
585000,2,1,1770,1.5,0,0,1520,250,Seattle,USA
615000,4,1.75,2300,1,0,0,1960,340,Redmond,USA
618500,3,2,,1,0,0,1080,720,Seattle,USA
487585,4,1.75,2010,1,0,0,1470,540,Kirkland,USA
509900,3,2.5,1790,2,0,0,1790,0,Issaquah,USA
631625,4,2.5,2440,2,0,0,2440,0,Seattle,USA
555000,3,2.5,1940,2,0,0,1940,0,Issaquah,USA
340000,2,1.5,1160,2,0,0,1160,0,Seattle,USA
830000,4,2.5,3400,2,0,0,3400,0,Redmond,USA
890000,4,4.25,4420,2,0,0,3410,1010,Issaquah,USA
366750,3,3,1571,3,0,0,1571,0,Seattle,USA
415000,3,2.25,1620,2.5,0,0,1540,80,Issaquah,USA
416286,3,2.5,1408,3,0,0,1408,0,Seattle,USA
478000,3,2.5,,2,0,0,3040,0,Renton,USA
890000,5,3.5,4490,2,0,0,3200,1290,Issaquah,USA
419190,2,2.5,1590,2,0,0,1590,0,Issaquah,USA
712198,4,2.5,2450,2,0,0,2450,0,Redmond,USA
397000,4,2,1440,1,0,0,1200,240,Kirkland,USA
450000,2,2,1100,1.5,0,0,1100,0,Seattle,USA
353000,3,1,1350,1,0,0,860,490,Seattle,USA
609000,4,2.5,2150,2,0,0,2150,0,Redmond,USA
234000,3,1.75,1490,1,0,0,1010,480,Covington,USA
561000,3,2,,2,0,0,2000,0,Seattle,USA
469000,2,1,1030,1,0,0,1030,0,Seattle,USA
329350,2,1,720,1,0,0,720,0,Seattle,USA
488000,5,2,2020,1.5,0,0,2020,0,Seattle,USA
279900,3,1.75,1580,1,0,1,1100,480,Des Moines,USA
606000,4,2.5,2110,2,0,0,2110,0,Issaquah,USA
312000,4,2,1300,1,0,0,1300,0,Seattle,USA
650000,3,1.5,1630,1,0,1,1160,470,Seattle,USA
1135000,4,2.75,3370,1,0,3,1970,1400,Seattle,USA
325000,4,2.5,1890,1,0,0,,910,Seattle,USA
425000,4,2,1520,1,0,0,1520,0,Inglewood-Finn Hill,USA
219000,2,1,900,1,0,0,900,0,Seattle,USA
250000,3,1,1050,1,0,0,1050,0,Shoreline,USA
390000,3,1.75,,1,0,0,1260,0,Bellevue,USA
475000,6,3,3470,1.5,0,0,3470,0,Kenmore,USA
736000,4,2.5,2290,2,0,0,2290,0,Bellevue,USA
407000,4,2.25,2810,1,0,1,1710,1100,Des Moines,USA
272000,3,2.5,1650,2,0,0,1650,0,Carnation,USA
362000,3,2.25,1640,1,0,0,1140,500,Burien,USA
535000,3,2.5,1850,2,0,0,1850,0,Kirkland,USA
284000,4,2.5,2000,2,0,0,2000,0,Kent,USA
367500,3,1.5,1410,1,0,0,1410,0,Shoreline,USA
379900,4,1.75,1500,1,0,0,1000,500,Kenmore,USA
520000,3,2.5,2460,2,0,0,2460,0,Renton,USA
175000,3,1,1010,1,0,0,1010,0,Renton,USA
460000,2,2.25,,2,0,0,1020,210,Seattle,USA
345000,4,2.5,2331,2,0,0,2331,0,Renton,USA
455000,5,2.5,2240,1,0,0,1340,900,Kirkland,USA
610000,4,3,2450,1,0,0,1580,870,Bellevue,USA
563000,4,3,3100,2,0,0,2400,700,Kenmore,USA
612500,4,2,2060,1,0,0,1030,1030,Seattle,USA
218000,3,1.75,1850,1,0,0,1320,530,Federal Way,USA
404000,4,1.75,1840,1,0,0,960,880,Bellevue,USA
860000,4,2,3740,2,0,0,3740,0,Redmond,USA
136500,3,1.5,,1,0,0,1420,0,Federal Way,USA
313950,3,1,1510,1,0,0,860,650,Seattle,USA
575000,3,1.75,2130,1,,2,1170,960,Seattle,USA
1225000,4,2.25,3490,2,0,0,2280,1210,Seattle,USA
280000,3,1.75,1630,1,0,0,1630,0,North Bend,USA
515000,3,2.5,1790,2,0,0,1790,0,Sammamish,USA
513000,4,2.5,2000,2,0,0,2000,0,Kenmore,USA
599000,4,2.25,2260,2,0,0,1400,860,Bellevue,USA
685000,4,2.5,3030,2,0,0,3030,0,Sammamish,USA
365000,3,1.5,1310,1,0,0,,0,Seattle,USA
762300,4,2.5,3880,2,0,0,3880,0,Sammamish,USA
1580000,4,3.25,3760,1.5,0,0,2400,1360,Seattle,USA
562000,5,2.25,3040,2,0,0,3040,0,Redmond,USA
530000,5,2.5,2910,1,0,0,1690,1220,Bellevue,USA
525000,3,2.5,2970,1,0,0,1770,1200,Sammamish,USA
484000,2,1.75,1660,1,0,0,1160,500,Seattle,USA
725126,4,2.5,3200,2,0,0,3200,0,Newcastle,USA
360000,4,2,2680,1,0,0,2680,0,Auburn,USA
387000,3,1,1230,1,0,0,1230,0,Newcastle,USA
483500,4,2.5,2740,2,0,0,2740,0,Woodinville,USA
655500,4,3.5,3380,2,0,0,3380,0,Shoreline,USA
345000,3,1,1110,1,0,0,,0,Seattle,USA
533000,5,2.75,1800,1.5,0,0,1400,400,Seattle,USA
385000,3,1.75,1900,1,0,0,1280,620,Seattle,USA
675000,2,1,930,1,0,2,930,0,Bellevue,USA
197000,3,1.75,1690,1,0,0,1060,630,Auburn,USA
485000,3,2,1420,1.5,0,0,1420,0,Seattle,USA
1870000,5,4,4510,2,0,0,4510,0,Mercer Island,USA
295000,3,2.25,1980,1,0,,1560,420,Federal Way,USA
499000,2,1.75,1170,1,0,0,740,430,Seattle,USA
1050000,3,2.5,2200,2,0,0,1610,590,Seattle,USA
191000,3,1.5,800,1,0,0,800,0,Federal Way,USA
500000,3,2.5,1480,3,0,0,1480,0,Seattle,USA
390000,5,3.75,2890,1,0,0,1310,1580,Seattle,USA
979000,3,2.5,2690,3,0,0,2690,0,Seattle,USA
580000,4,3.25,3569,2,0,0,3569,0,Renton,USA
369950,3,2,1270,3,0,0,1270,0,Seattle,USA
1800000,5,5,4490,2,0,0,3930,560,Bellevue,USA
776000,4,2.5,3040,2,0,0,3040,0,Redmond,USA
519950,3,2.25,1170,3,,0,1170,0,Seattle,USA
255000,5,2.25,2060,1,0,,1030,1030,Burien,USA
495000,3,1,990,1,0,0,990,0,Seattle,USA
510000,4,2.5,2430,2,0,0,2430,0,Shoreline,USA
1150000,4,4,4460,2,0,0,4460,0,Redmond,USA
253000,3,1.75,1250,1,0,0,1250,0,Black Diamond,USA
503000,3,2.75,1540,1,0,0,1210,330,Kirkland,USA
275000,3,2.5,1600,2,0,0,1600,0,Maple Valley,USA
249000,3,1,1110,1,0,0,1110,0,Burien,USA
310000,3,1.75,1840,1,0,0,1220,620,Renton,USA
750000,3,2.75,2520,1,0,0,1360,1160,Seattle,USA
630000,3,2.5,2680,2,0,0,2680,0,Ravensdale,USA
599999,9,4.5,3830,2.5,0,0,2450,1380,Seattle,USA
758000,4,2.75,2410,1,0,0,1780,,Kirkland,USA
248500,4,1.75,1720,1,,0,1720,0,Covington,USA
310000,3,1.75,2070,1,0,0,1420,650,Kent,USA
460000,3,2,1760,2,0,0,1760,0,Redmond,USA
675000,3,1.75,1680,1,0,0,1680,0,Bellevue,USA
526000,2,2,1550,1.5,0,0,1550,0,Seattle,USA
560000,3,3,4120,2,,2,3180,940,Carnation,USA
415000,4,3,1830,2,0,0,1830,0,Bothell,USA
246000,3,1,1400,1,0,0,1400,0,Burien,USA
314500,3,1.75,1870,1,,0,1870,0,Federal Way,USA
3200000,7,4.5,6210,2.5,0,2,4760,1450,Seattle,USA
420000,2,1.5,1040,1.5,0,0,,0,Seattle,USA
535000,3,1.75,2720,1.5,0,0,2720,0,Carnation,USA
350000,,1,1010,1,0,0,1010,0,Kirkland,USA
515000,3,1.75,1580,,0,1,1210,370,Bellevue,USA
749950,4,2.75,2600,2,0,0,1960,640,Seattle,USA
230000,3,2.5,1920,2,,0,1920,0,Renton,USA
568000,3,2,2350,1.5,0,0,1780,570,Seattle,USA
250000,1,1,1100,1,0,0,820,280,Burien,USA
581000,4,2,2510,1,0,0,1280,1230,Kirkland,USA
651000,3,2.5,3240,2,0,0,3240,0,Kent,USA
600000,3,2.5,2460,1,0,0,1860,600,Issaquah,USA
500000,2,1,1010,1.5,0,0,1010,0,Seattle,USA
475000,2,1,820,1,0,0,820,0,Seattle,USA
352000,5,2.5,2420,,0,2,1620,800,Seattle,USA
420000,3,2.25,1770,2,0,0,1770,0,Kirkland,USA
428000,2,,1350,1,0,0,1350,0,Redmond,USA
599000,3,1.75,1960,1,0,0,1090,870,Seattle,USA
492000,4,2.5,3305,1.5,0,0,2245,1060,Shoreline,USA
630000,2,2.25,2550,1,0,0,1720,830,Renton,USA
900000,5,3.75,4130,2,0,0,3170,960,Woodinville,USA
1110000,4,1.5,2310,1,0,0,1890,420,Clyde Hill,USA
575000,4,2,1650,1,0,0,1650,0,Seattle,USA
705000,4,2.5,2650,1.5,0,0,1520,1130,Seattle,USA
940000,4,2.25,,1,0,1,1470,420,Seattle,USA
313000,3,1.75,2190,1,0,0,2190,0,Federal Way,USA
618080,3,2.5,,2,0,0,2030,0,Issaquah,USA
640000,3,3,2270,2,0,0,2130,140,Renton,USA
485000,3,2,1610,1,0,0,1010,600,Seattle,USA
300000,2,1,760,1,0,0,760,0,Seattle,USA
379500,2,1,1640,1,0,0,840,800,Redmond,USA
339950,3,2.25,1630,2,0,0,1630,0,Renton,USA
1500000,6,2.5,3560,2.5,0,0,3560,0,Seattle,USA
1340000,3,3,2960,2,0,2,2440,520,Seattle,USA
500000,3,2.5,1940,1,0,0,1940,0,Issaquah,USA
239900,3,2,1410,1,0,0,1410,0,Kent,USA
314950,3,1,1040,1,0,0,1040,0,Renton,USA
361280,2,1,820,1,0,0,820,0,Seattle,USA
100000,2,1,910,1,0,0,910,0,Algona,USA
540000,7,5.75,3700,2,0,1,3700,0,Lake Forest Park,USA
480500,4,2.5,2180,1,0,0,2180,0,Woodinville,USA
280000,3,2.5,1600,2,0,0,1600,0,Auburn,USA
440000,3,1.75,1500,1,0,0,1060,440,Seattle,USA
530000,3,1,1340,1,0,0,1080,260,Seattle,USA
560000,3,2,1860,1,0,0,1860,0,Issaquah,USA
775000,3,2,2540,1.5,0,3,1600,940,Seattle,USA
,2,1,1040,1,0,0,1040,0,Kent,USA
209950,3,1.5,1380,1,0,0,1380,0,Federal Way,USA
226500,3,1.75,1640,1,0,0,1130,510,Covington,USA
380000,5,1.75,3000,1,0,0,1500,1500,Seattle,USA
409500,4,2.75,2140,1,0,0,1320,820,Kenmore,USA
690000,3,2,1760,1,0,0,980,780,Seattle,USA
405000,3,2.25,1660,1,0,0,1660,0,Shoreline,USA
375000,3,2.5,1830,2,0,0,1830,0,Maple Valley,USA
794154,4,2,,1,0,1,1210,1000,Seattle,USA
185000,4,1,1490,1,0,0,1490,0,Burien,USA
245000,3,1.5,1260,2,0,0,1040,220,Seattle,USA
1532500,5,4.5,4270,2,0,0,3400,870,Kirkland,USA
1040000,4,3.5,3900,2,0,0,3900,0,Kirkland,USA
425000,2,2.5,1150,3,0,0,1150,0,Seattle,USA
495000,4,2.75,2656,2,0,0,2656,0,Auburn,USA
365000,5,2.75,2410,1,0,0,1410,1000,Seattle,USA
417250,3,2.25,1606,3,0,0,1606,0,Seattle,USA
339950,2,1,820,3,0,0,820,0,Seattle,USA
615000,2,1,,1,0,0,820,720,Seattle,USA
403000,3,2.75,2090,2,0,0,2090,0,Duvall,USA
980000,5,2.5,3160,1,0,0,1780,1380,Mercer Island,USA
258000,4,1.75,1730,1,0,0,1230,500,Federal Way,USA
533000,3,1,1670,1,0,0,1170,500,Seattle,USA
537500,4,2.5,2550,2,0,0,2550,0,Sammamish,USA
830000,5,3,3040,1,0,0,1970,1070,Mercer Island,USA
712000,3,1,1250,1.5,0,0,1150,100,Seattle,USA
262000,4,2.5,2020,2,0,0,2020,0,Algona,USA
753888,4,2.5,2660,2,0,2,2660,0,Issaquah,USA
134000,2,1.5,980,2,0,0,980,0,Skykomish,USA
402000,3,2.5,1960,1,0,0,1290,670,Kirkland,USA
205000,2,1,720,,0,0,720,0,Seattle,USA
553650,2,2.5,1360,2,0,0,1050,310,Seattle,USA
559950,2,2,1870,1,0,0,1870,0,Redmond,USA
260000,4,1.5,2130,1,0,0,1100,1030,Kent,USA
270000,4,2.5,1810,2,0,0,1810,0,Kent,USA
295000,2,1.75,2200,1,0,0,1100,1100,Issaquah,USA
719000,3,2.5,1690,1.5,0,1,1690,0,Seattle,USA
266000,3,2.5,1940,1,0,0,1460,480,Kent,USA
325900,4,2.5,2320,2,0,0,2320,0,Kent,USA
647500,4,1.75,2060,1,0,0,1160,900,Normandy Park,USA
1039000,4,1,3410,2,0,0,2190,1220,Seattle,USA
569000,4,2.25,2250,2,0,0,2250,0,Redmond,USA
246000,3,1.75,1390,1,,0,1390,0,Kent,USA
515000,2,1,1060,1,0,0,1060,0,Seattle,USA
207000,3,1,1490,1,0,0,1490,0,Seattle,USA
780000,4,1.75,2480,1,0,0,1390,1090,Bellevue,USA
489990,5,2.25,2440,1.5,0,0,2440,0,Kent,USA
335000,3,1.5,2240,1.5,0,0,1480,760,Auburn,USA
295000,3,2.5,1920,2,0,0,1920,0,Federal Way,USA
385000,3,1.75,1890,1,0,0,1230,660,Seattle,USA
350000,4,1.75,2250,1,0,0,2150,100,Kent,USA
235000,2,1,1270,1,0,0,650,620,Seattle,USA
358000,2,1.5,960,2,0,0,960,0,Seattle,USA
716500,4,2.5,3290,2,0,0,3290,0,Sammamish,USA
228000,4,1.75,2000,,0,0,,900,Seattle,USA
405000,2,1,1020,1,0,0,1020,0,Seattle,USA
538000,4,1.75,1840,1,0,0,1220,620,Redmond,USA
530000,3,1.75,1980,1,0,0,1980,0,Bellevue,USA
1750000,6,3,3510,2.5,0,0,3510,0,Seattle,USA
636000,2,1.75,1230,1.5,0,0,1230,0,Seattle,USA
535000,4,2.5,2280,2,0,0,2280,0,Woodinville,USA
1500000,3,1.75,2430,1,0,2,1340,1090,Bellevue,USA
868500,3,2.5,2920,3,0,0,2920,0,Renton,USA
530000,4,2.75,2280,1.5,0,0,1540,740,Seattle,USA
450000,3,2,1510,1,0,0,1510,0,Woodinville,USA
230000,3,1.75,950,1,0,0,790,160,Seattle,USA
229000,3,2.5,1190,2,0,0,1190,0,Tukwila,USA
437000,3,1.75,1310,1,0,0,1310,0,Redmond,USA
1307000,5,3.25,2800,1.5,0,0,1910,890,Seattle,USA
595000,3,2.5,1750,2,0,0,1750,0,Kirkland,USA
660000,3,1.75,1320,1.5,0,0,1320,0,Seattle,USA
347500,4,2.5,2460,2,0,0,2460,0,Federal Way,USA
297950,3,2,1240,1,0,0,1240,0,Renton,USA
245000,3,1.5,1260,1,0,0,1260,0,Des Moines,USA
543200,6,2.25,2820,1.5,0,2,1970,850,Burien,USA
1250000,4,3.25,3820,2,0,1,3310,510,Mercer Island,USA
413450,3,2.5,1540,3,0,0,1470,70,Seattle,USA
330000,2,2,1550,1.5,0,0,1550,0,Snoqualmie,USA
424500,3,1.75,1460,1,0,0,1460,0,Redmond,USA
230000,3,1,1390,1,0,0,1390,0,Algona,USA
930000,3,3.25,2640,2,0,0,1840,800,Seattle,USA
349000,3,1.75,1590,1,0,0,1590,0,Renton,USA
835000,4,2,1910,1.5,0,0,1910,0,Seattle,USA
988500,3,2.75,2015,2,1,4,2015,0,Burien,USA
500000,3,1.75,1410,3,0,0,1410,0,Seattle,USA
499000,2,1.5,1110,2,0,0,930,180,Seattle,USA
321950,2,1.25,860,2,0,0,860,0,Seattle,USA
494000,3,2.5,2310,2,0,0,2310,0,Kenmore,USA
441750,2,1.5,1020,3,0,0,1020,0,Seattle,USA
438000,2,1,980,2,0,0,980,0,Seattle,USA
985000,4,2.25,4230,2,0,0,4230,0,Woodinville,USA
352000,3,2.25,1640,1,0,0,1640,0,Renton,USA
839900,4,3.5,3810,1,0,1,2560,1250,Renton,USA
765000,4,2.75,2790,2,0,0,2790,0,Issaquah,USA
460000,4,1.75,1750,1.5,0,0,1050,700,Seattle,USA
224500,4,1,1430,1.5,0,0,1430,0,Auburn,USA
254000,3,2.5,1850,2,0,0,1850,0,Covington,USA
255000,2,1,960,1,0,0,960,0,Vashon,USA
610000,3,3,2480,1,0,0,1620,860,Woodinville,USA
920000,4,3,3750,2,0,0,3750,0,Sammamish,USA
402500,4,2.5,2600,2,0,0,2600,0,Federal Way,USA
280950,3,1.75,1390,1,0,3,840,550,Renton,USA
604000,4,2.5,2260,2,0,0,2260,0,Issaquah,USA
565000,4,2.25,2470,2,0,0,2470,0,Lake Forest Park,USA
255000,2,1,810,1,0,0,810,0,Seattle,USA
445000,4,2,1650,1,0,0,1000,650,Seattle,USA
2400000,3,2.25,3000,1.5,1,4,3000,0,Sammamish,USA
195000,2,1,720,1,0,0,720,0,Seattle,USA
275000,3,1.5,1390,1,0,0,1390,0,Fall City,USA
387000,3,2.25,1445,2,0,0,1300,145,Issaquah,USA
490000,2,1,1840,1.5,0,0,1130,710,Seattle,USA
505000,3,2.5,2100,2,0,2,2100,0,Snoqualmie,USA
303500,3,1.5,1060,1,0,0,1060,0,Kirkland,USA
270000,3,1.5,1500,1,0,0,1500,0,Seattle,USA
323000,4,2.75,1970,1,0,0,1170,800,Renton,USA
382000,3,3.25,1410,3,0,0,1410,0,Seattle,USA
1370000,4,2.75,3720,1,0,4,1960,1760,Bellevue,USA
280000,4,2,2190,1,0,0,1180,1010,Auburn,USA
260000,3,2,1920,1,0,0,1510,410,Federal Way,USA
201500,3,1,1160,1,0,0,1160,0,Kent,USA
1157200,4,4.25,5860,2,0,0,4910,950,Woodinville,USA
536500,4,1.75,2000,1.5,0,0,1450,550,Seattle,USA
248000,4,3,2163,2,0,0,2163,0,Algona,USA
532000,5,3,3480,1,0,0,2340,1140,Issaquah,USA
580000,4,2.5,2840,2,0,0,2840,0,Kenmore,USA
463000,2,1,1150,1,0,0,1150,0,Seattle,USA
742500,4,2.75,3100,2,0,0,2000,1100,Seattle,USA
260000,3,2.5,1420,1,0,0,1020,400,Kent,USA
590000,4,2.25,2430,1,0,0,2430,0,Woodinville,USA
312000,4,2.25,1930,1,0,0,1430,500,Kent,USA
566000,3,2.25,1660,1,0,0,1370,290,Redmond,USA
511555,3,2,1400,1,0,0,1400,0,Bellevue,USA
583000,4,2.5,2660,2,0,0,2660,0,Redmond,USA
290000,4,2.5,2000,1,0,0,1200,800,Auburn,USA
311100,4,2.25,2130,1,0,0,1380,750,Renton,USA
325000,3,2.25,1352,3,0,0,1352,0,Seattle,USA
491300,3,1.75,1750,1,0,1,1300,450,Sammamish,USA
315000,5,1.75,2320,1,0,0,1160,1160,Burien,USA
360000,2,1,1420,1,0,0,1180,240,Renton,USA
330000,4,2.5,1940,2,0,0,1940,0,Renton,USA
481450,3,2,1410,1,0,0,1410,0,Seattle,USA
234950,3,1,1360,1,0,0,1360,0,Black Diamond,USA
251000,3,1.75,1220,1,0,0,1220,0,North Bend,USA
782000,4,2.5,,2,0,0,1980,850,Bellevue,USA
833000,4,2.75,3780,2,0,0,3780,0,Sammamish,USA
542500,4,2.5,2330,2,0,0,2330,0,Bellevue,USA
851000,3,2.5,3560,2,0,0,3560,0,Redmond,USA
325000,4,1.5,1470,1,0,0,1470,0,Ravensdale,USA
415000,4,2.25,3060,2,0,0,3060,0,Ravensdale,USA
252500,3,1,1030,1,0,0,880,150,Seattle,USA
465000,4,2.5,1930,1,0,0,1930,0,Federal Way,USA
336900,3,1.75,1780,1,0,0,1780,0,Duvall,USA
